iter	MultiClass
0	1.322570059
1	1.263560108
2	1.21866011
3	1.180762546
4	1.147328668
5	1.116596218
6	1.092100925
7	1.068059063
8	1.047540346
9	1.029048759
10	1.013193449
11	0.9984308956
12	0.984817025
13	0.9729002781
14	0.9601244958
15	0.9484324877
16	0.9380422721
17	0.9290448084
18	0.9204869467
19	0.913463949
20	0.9051789738
21	0.8992903849
22	0.8924356965
23	0.8861396078
24	0.8814511639
25	0.8759684377
26	0.8706048793
27	0.8666606776
28	0.8617620273
29	0.8572869684
30	0.8529874254
31	0.8494158441
32	0.8453540533
33	0.8423091758
34	0.8378343825
35	0.8342870113
36	0.8304624204
37	0.8271112857
38	0.8235854411
39	0.8209903582
40	0.8167026976
41	0.8132926855
42	0.8100235571
43	0.8071786291
44	0.8035246443
45	0.8004825433
46	0.7974580659
47	0.7936705308
48	0.7913418224
49	0.7886061508
50	0.7859458201
51	0.7834536745
52	0.7804804682
53	0.7778242508
54	0.7743448787
55	0.7710157892
56	0.7677593065
57	0.7654816594
58	0.7638030049
59	0.7605907353
60	0.7569627242
61	0.7553239599
62	0.7536704039
63	0.7511029048
64	0.7486846013
65	0.7463514166
66	0.7435378939
67	0.7408829868
68	0.7386251666
69	0.7361008697
70	0.7340659902
71	0.7319011546
72	0.7297886349
73	0.7274242622
74	0.7256374973
75	0.7230326379
76	0.7204986084
77	0.7176989623
78	0.7146411919
79	0.7122533224
80	0.7099832478
81	0.7085965662
82	0.7060850532
83	0.7041821815
84	0.7019853325
85	0.7008224128
86	0.6985486113
87	0.6970248089
88	0.6949074375
89	0.693118492
90	0.6918363912
91	0.6900355277
92	0.688564737
93	0.6862311801
94	0.6832967029
95	0.6808848763
96	0.6781715187
97	0.6763940937
98	0.6742433054
99	0.6727179059
100	0.6707605566
101	0.668398136
102	0.6663243413
103	0.6637978202
104	0.6618708197
105	0.6598397588
106	0.6577053609
107	0.655863753
108	0.6539405318
109	0.6516315889
110	0.6489074186
111	0.6465927598
112	0.6437989094
113	0.6421732106
114	0.6400785756
115	0.6383508649
116	0.6355543549
117	0.6344848598
118	0.6329229747
119	0.6307060279
120	0.6285965538
121	0.6263606105
122	0.6246441279
123	0.6215161486
124	0.6196473187
125	0.6173391343
126	0.6155680869
127	0.6132734568
128	0.611971027
129	0.6100768392
130	0.6084905417
131	0.6066264089
132	0.6052476076
133	0.6027074965
134	0.6012123587
135	0.599165258
136	0.597954271
137	0.5953424864
138	0.59314048
139	0.591273575
140	0.589636692
141	0.5873029442
142	0.5855745405
143	0.5838442589
144	0.582045039
145	0.5798119729
146	0.5780815971
147	0.5756361843
148	0.5733881126
149	0.5715947982
150	0.5690857399
151	0.5672556356
152	0.5647642981
153	0.5626619998
154	0.5606475066
155	0.558588565
156	0.5570116985
157	0.5548033028
158	0.553230192
159	0.5512648393
160	0.549537855
161	0.5475775828
162	0.5460088663
163	0.5445422464
164	0.543233626
165	0.5408546508
166	0.5390482939
167	0.5375110901
168	0.5355097018
