iter	Passed	Remaining
0	200	200002
1	239	119533
2	284	94633
3	322	80206
4	361	71855
5	399	66110
6	441	62595
7	480	59591
8	522	57534
9	563	55768
10	602	54191
11	639	52687
12	678	51548
13	717	50555
14	756	49659
15	795	48939
16	832	48147
17	872	47593
18	912	47113
19	952	46685
20	995	46411
21	1040	46259
22	1084	46062
23	1125	45753
24	1172	45710
25	1214	45491
26	1250	45081
27	1289	44754
28	1324	44349
29	1361	44025
30	1395	43632
31	1431	43298
32	1464	42920
33	1499	42595
34	1535	42327
35	1577	42247
36	1619	42148
37	1661	42073
38	1701	41928
39	1743	41834
40	1784	41739
41	1830	41751
42	1890	42068
43	1947	42315
44	1987	42175
45	2032	42153
46	2068	41944
47	2105	41754
48	2141	41565
49	2177	41378
50	2219	41300
51	2262	41252
52	2310	41279
53	2351	41192
54	2390	41075
55	2428	40940
56	2467	40821
57	2504	40678
58	2540	40520
59	2577	40384
60	2613	40227
61	2654	40166
62	2693	40057
63	2736	40028
64	2775	39922
65	2820	39921
66	2861	39852
67	2897	39719
68	2936	39620
69	2974	39512
70	3009	39379
71	3047	39274
72	3085	39175
73	3126	39117
74	3162	39010
75	3199	38897
76	3240	38846
77	3285	38834
78	3329	38813
79	3370	38762
80	3407	38659
81	3438	38498
82	3473	38374
83	3510	38279
84	3547	38187
85	3621	38486
86	3660	38409
87	3704	38388
88	3738	38264
89	3773	38150
90	3810	38063
91	3845	37955
92	3882	37866
93	3919	37778
94	3959	37715
95	3997	37647
96	4037	37584
97	4075	37513
98	4111	37417
99	4148	37336
100	4182	37226
101	4217	37129
102	4252	37034
103	4290	36963
104	4327	36883
105	4360	36778
106	4397	36699
107	4432	36613
108	4469	36535
109	4507	36467
110	4541	36372
111	4574	36272
112	4614	36218
113	4649	36138
114	4686	36064
115	4721	35978
116	4757	35905
117	4791	35811
118	4826	35732
119	4862	35658
120	4900	35602
121	4937	35534
122	4976	35484
123	5014	35424
124	5050	35354
125	5086	35281
126	5121	35205
127	5155	35119
128	5185	35013
129	5218	34925
130	5249	34824
131	5281	34728
132	5313	34638
133	5348	34566
134	5383	34493
135	5415	34407
136	5448	34323
137	5486	34269
138	5523	34216
139	5564	34181
140	5603	34137
141	5640	34079
142	5674	34005
143	5708	33935
144	5743	33865
145	5779	33805
146	5818	33761
147	5855	33709
148	5890	33645
149	5928	33594
150	5965	33540
151	6008	33522
152	6044	33462
153	6082	33414
154	6120	33366
155	6156	33309
156	6191	33245
157	6230	33203
158	6268	33155
159	6305	33103
160	6341	33047
161	6376	32983
162	6409	32912
163	6445	32854
164	6479	32791
165	6514	32730
166	6551	32678
167	6587	32625
168	6623	32570
169	6659	32515
170	6697	32471
171	6731	32406
172	6767	32348
173	6804	32301
174	6837	32232
175	6872	32177
176	6908	32122
177	6944	32068
178	6978	32008
179	7014	31956
180	7051	31908
181	7087	31853
182	7125	31810
183	7160	31754
184	7195	31696
185	7230	31641
186	7265	31587
187	7298	31522
188	7330	31454
189	7365	31401
190	7396	31327
191	7430	31269
192	7460	31194
193	7494	31137
194	7529	31082
195	7561	31019
196	7597	30969
197	7637	30935
198	7674	30890
199	7710	30842
200	7747	30795
201	7779	30732
202	7811	30666
203	7844	30607
204	7878	30553
205	7910	30491
206	7945	30439
207	7984	30402
208	8018	30347
209	8052	30291
210	8087	30243
211	8125	30200
212	8158	30146
213	8197	30110
214	8234	30066
215	8268	30012
216	8305	29969
217	8340	29919
218	8374	29866
219	8412	29826
220	8448	29779
221	8481	29722
222	8513	29664
223	8547	29612
224	8579	29553
225	8616	29508
226	8651	29459
227	8686	29411
228	8719	29358
229	8756	29315
230	8790	29263
231	8823	29209
232	8859	29164
233	8893	29113
234	8928	29063
235	8962	29014
236	8996	28962
237	9031	28916
238	9069	28876
239	9113	28860
240	9156	28837
241	9200	28817
242	9244	28799
243	9286	28772
244	9324	28733
245	9364	28701
246	9403	28668
247	9440	28626
248	9477	28584
249	9514	28543
250	9549	28495
251	9586	28454
252	9621	28406
253	9657	28364
254	9694	28324
255	9729	28276
256	9764	28230
257	9804	28196
258	9840	28154
259	9883	28131
260	9922	28095
261	9959	28052
262	9996	28011
263	10032	27970
264	10070	27931
265	10104	27883
266	10141	27840
267	10176	27794
268	10212	27752
269	10249	27710
270	10283	27661
271	10318	27618
272	10354	27573
273	10392	27535
274	10431	27500
275	10467	27457
276	10502	27412
277	10537	27367
278	10570	27316
279	10603	27265
280	10639	27222
281	10672	27173
282	10706	27124
283	10741	27080
284	10776	27037
285	10811	26992
286	10849	26953
287	10881	26901
288	10915	26853
289	10952	26813
290	10989	26775
291	11028	26739
292	11066	26702
293	11100	26657
294	11135	26612
295	11169	26566
296	11205	26523
297	11238	26474
298	11273	26430
299	11308	26387
300	11342	26340
301	11375	26291
302	11414	26257
303	11450	26216
304	11486	26173
305	11523	26133
306	11559	26092
307	11595	26051
308	11631	26011
309	11667	25970
310	11703	25928
311	11738	25884
312	11772	25839
313	11811	25805
314	11850	25769
315	11886	25729
316	11927	25699
317	11963	25657
318	11997	25612
319	12035	25576
320	12073	25538
321	12115	25509
322	12158	25483
323	12197	25449
324	12234	25409
325	12270	25369
326	12308	25331
327	12343	25288
328	12378	25246
329	12414	25205
330	12453	25170
331	12489	25129
332	12530	25098
333	12570	25064
334	12608	25029
335	12651	25002
336	12694	24973
337	12734	24941
338	12772	24904
339	12813	24872
340	12853	24840
341	12894	24808
342	12929	24766
343	12968	24730
344	13012	24705
345	13054	24674
346	13094	24642
347	13138	24615
348	13181	24588
349	13222	24556
350	13257	24512
351	13293	24472
352	13326	24424
353	13356	24373
354	13389	24326
355	13422	24281
356	13455	24235
357	13490	24192
358	13522	24145
359	13558	24103
360	13594	24063
361	13633	24027
362	13673	23994
363	13709	23954
364	13741	23906
365	13774	23861
366	13807	23814
367	13841	23771
368	13875	23726
369	13908	23682
370	13946	23645
371	13982	23604
372	14018	23564
373	14052	23521
374	14085	23475
375	14118	23430
376	14157	23395
377	14196	23360
378	14231	23318
379	14265	23275
380	14300	23234
381	14338	23196
382	14377	23160
383	14411	23118
384	14444	23072
385	14477	23028
386	14510	22984
387	14543	22939
388	14579	22899
389	14614	22858
390	14648	22815
391	14682	22772
392	14714	22727
393	14747	22682
394	14784	22644
395	14821	22606
396	14856	22565
397	14897	22532
398	14933	22494
399	14969	22454
400	15005	22415
401	15041	22375
402	15076	22333
403	15110	22291
404	15143	22248
405	15180	22210
406	15218	22173
407	15253	22132
408	15287	22090
409	15321	22047
410	15354	22004
411	15386	21959
412	15418	21914
413	15453	21873
414	15490	21836
415	15529	21801
416	15564	21761
417	15601	21723
418	15638	21684
419	15668	21637
420	15700	21593
421	15734	21551
422	15770	21512
423	15803	21469
424	15837	21426
425	15870	21384
426	15906	21345
427	15941	21305
428	15978	21268
429	16015	21229
430	16050	21189
431	16086	21150
432	16121	21109
433	16154	21067
434	16188	21026
435	16220	20982
436	16252	20938
437	16285	20896
438	16318	20853
439	16354	20814
440	16389	20774
441	16423	20733
442	16455	20690
443	16489	20648
444	16524	20608
445	16558	20567
446	16594	20529
447	16628	20489
448	16661	20446
449	16695	20405
450	16728	20363
451	16762	20322
452	16795	20280
453	16828	20238
454	16861	20197
455	16893	20154
456	16929	20115
457	16961	20072
458	16997	20033
459	17033	19996
460	17071	19959
461	17107	19921
462	17141	19880
463	17173	19838
464	17208	19798
465	17242	19758
466	17277	19719
467	17308	19675
468	17341	19633
469	17374	19592
470	17408	19552
471	17443	19512
472	17475	19470
473	17510	19431
474	17546	19392
475	17581	19354
476	17617	19316
477	17655	19280
478	17689	19241
479	17726	19203
480	17758	19161
481	17790	19118
482	17824	19079
483	17858	19039
484	17893	18999
485	17929	18961
486	17960	18919
487	17994	18879
488	18028	18839
489	18062	18800
490	18101	18765
491	18139	18729
492	18174	18690
493	18208	18650
494	18240	18609
495	18273	18568
496	18308	18529
497	18339	18486
498	18373	18447
499	18405	18405
500	18436	18362
501	18471	18323
502	18503	18283
503	18538	18243
504	18572	18204
505	18608	18166
506	18643	18129
507	18680	18091
508	18715	18053
509	18749	18014
510	18782	17973
511	18819	17937
512	18851	17895
513	18884	17855
514	18916	17814
515	18948	17773
516	18982	17733
517	19016	17694
518	19050	17655
519	19085	17617
520	19120	17579
521	19157	17542
522	19192	17504
523	19227	17466
524	19264	17429
525	19298	17390
526	19331	17350
527	19363	17310
528	19396	17269
529	19427	17228
530	19460	17188
531	19496	17151
532	19532	17113
533	19584	17090
534	19618	17051
535	19652	17012
536	19688	16975
537	19723	16937
538	19759	16899
539	19793	16860
540	19828	16823
541	19860	16782
542	19893	16742
543	19928	16704
544	19962	16666
545	19995	16626
546	20029	16587
547	20063	16548
548	20096	16509
549	20131	16470
550	20165	16432
551	20203	16396
552	20241	16361
553	20277	16324
554	20310	16285
555	20344	16246
556	20377	16206
557	20411	16168
558	20446	16130
559	20480	16092
560	20513	16052
561	20547	16013
562	20579	15973
563	20613	15935
564	20645	15894
565	20679	15856
566	20712	15817
567	20746	15778
568	20782	15742
569	20817	15704
570	20850	15665
571	20885	15627
572	20920	15590
573	20952	15550
574	20987	15512
575	21022	15474
576	21056	15436
577	21091	15399
578	21125	15360
579	21162	15324
580	21196	15286
581	21234	15251
582	21269	15213
583	21309	15179
584	21346	15143
585	21383	15107
586	21419	15070
587	21456	15033
588	21493	14997
589	21531	14962
590	21566	14925
591	21602	14888
592	21639	14851
593	21669	14811
594	21701	14771
595	21736	14734
596	21772	14697
597	21807	14659
598	21841	14622
599	21880	14586
600	21915	14549
601	21948	14511
602	21985	14474
603	22021	14438
604	22058	14401
605	22091	14362
606	22125	14325
607	22159	14287
608	22192	14248
609	22226	14210
610	22260	14172
611	22295	14135
612	22330	14097
613	22364	14059
614	22400	14022
615	22435	13985
616	22468	13947
617	22502	13909
618	22536	13871
619	22570	13833
620	22605	13796
621	22638	13757
622	22671	13719
623	22706	13681
624	22740	13644
625	22773	13606
626	22809	13569
627	22845	13532
628	22882	13496
629	22918	13460
630	22953	13423
631	22987	13385
632	23020	13346
633	23056	13310
634	23088	13271
635	23124	13234
636	23156	13195
637	23189	13157
638	23221	13119
639	23254	13080
640	23289	13043
641	23322	13005
642	23360	12970
643	23397	12933
644	23431	12896
645	23465	12858
646	23499	12821
647	23531	12782
648	23565	12744
649	23598	12706
650	23633	12669
651	23666	12631
652	23701	12595
653	23738	12558
654	23773	12521
655	23809	12485
656	23844	12448
657	23879	12411
658	23914	12374
659	23949	12337
660	23984	12300
661	24020	12264
662	24054	12226
663	24089	12190
664	24123	12152
665	24155	12114
666	24187	12075
667	24223	12039
668	24258	12002
669	24290	11964
670	24323	11926
671	24356	11888
672	24390	11851
673	24426	11814
674	24462	11778
675	24513	11749
676	24546	11711
677	24579	11673
678	24611	11635
679	24644	11597
680	24676	11559
681	24711	11522
682	24760	11492
683	24796	11455
684	24827	11417
685	24859	11378
686	24893	11341
687	24934	11307
688	24969	11270
689	25004	11233
690	25038	11196
691	25071	11159
692	25105	11121
693	25140	11085
694	25174	11047
695	25207	11010
696	25240	10972
697	25272	10934
698	25304	10896
699	25338	10859
700	25374	10822
701	25407	10785
702	25443	10749
703	25478	10712
704	25511	10675
705	25547	10638
706	25584	10603
707	25616	10564
708	25651	10528
709	25683	10490
710	25717	10453
711	25751	10416
712	25786	10379
713	25820	10342
714	25855	10306
715	25890	10269
716	25924	10232
717	25960	10196
718	25998	10160
719	26032	10123
720	26069	10087
721	26105	10051
722	26138	10014
723	26170	9976
724	26204	9939
725	26238	9902
726	26272	9865
727	26306	9828
728	26361	9799
729	26406	9766
730	26455	9735
731	26491	9699
732	26529	9663
733	26561	9625
734	26595	9588
735	26630	9552
736	26666	9515
737	26700	9479
738	26735	9442
739	26768	9404
740	26800	9367
741	26835	9331
742	26870	9294
743	26903	9257
744	26938	9220
745	26976	9184
746	27009	9147
747	27043	9111
748	27078	9074
749	27113	9037
750	27146	9000
751	27182	8964
752	27213	8926
753	27247	8889
754	27281	8852
755	27314	8815
756	27349	8779
757	27382	8742
758	27415	8705
759	27448	8667
760	27483	8631
761	27521	8596
762	27558	8560
763	27596	8524
764	27631	8488
765	27664	8450
766	27697	8414
767	27730	8377
768	27765	8340
769	27797	8303
770	27830	8266
771	27869	8230
772	27903	8194
773	27934	8156
774	27968	8119
775	28003	8083
776	28037	8046
777	28080	8012
778	28118	7977
779	28161	7942
780	28199	7907
781	28237	7871
782	28270	7834
783	28306	7798
784	28346	7763
785	28388	7729
786	28435	7696
787	28473	7660
788	28514	7625
789	28559	7591
790	28603	7557
791	28646	7523
792	28688	7488
793	28726	7452
794	28763	7417
795	28800	7381
796	28841	7346
797	28877	7309
798	28913	7273
799	28948	7237
800	28985	7201
801	29023	7165
802	29061	7129
803	29098	7093
804	29134	7057
805	29168	7020
806	29206	6984
807	29244	6949
808	29293	6916
809	29344	6883
810	29378	6846
811	29412	6809
812	29443	6772
813	29481	6736
814	29524	6701
815	29560	6665
816	29597	6629
817	29630	6592
818	29661	6555
819	29694	6518
820	29729	6481
821	29765	6445
822	29802	6409
823	29841	6373
824	29878	6337
825	29914	6301
826	29955	6266
827	29993	6230
828	30028	6194
829	30063	6157
830	30099	6121
831	30133	6084
832	30168	6048
833	30206	6012
834	30241	5975
835	30274	5939
836	30306	5901
837	30339	5865
838	30374	5828
839	30412	5792
840	30449	5756
841	30487	5720
842	30523	5684
843	30554	5647
844	30589	5611
845	30623	5574
846	30659	5538
847	30694	5501
848	30729	5465
849	30762	5428
850	30797	5392
851	30833	5356
852	30872	5320
853	30915	5285
854	30957	5250
855	31001	5215
856	31041	5179
857	31083	5144
858	31125	5109
859	31162	5072
860	31202	5037
861	31240	5001
862	31277	4965
863	31330	4931
864	31367	4895
865	31405	4859
866	31447	4824
867	31490	4788
868	31529	4752
869	31575	4718
870	31613	4682
871	31653	4646
872	31692	4610
873	31730	4574
874	31763	4537
875	31801	4501
876	31838	4465
877	31876	4429
878	31913	4393
879	31953	4357
880	31996	4321
881	32036	4286
882	32078	4250
883	32120	4214
884	32155	4178
885	32191	4142
886	32247	4108
887	32291	4072
888	32335	4037
889	32368	4000
890	32404	3964
891	32439	3927
892	32475	3891
893	32510	3854
894	32549	3818
895	32588	3782
896	32629	3746
897	32672	3711
898	32710	3674
899	32748	3638
900	32785	3602
901	32823	3566
902	32861	3529
903	32898	3493
904	32935	3457
905	32974	3421
906	33011	3384
907	33051	3348
908	33091	3312
909	33134	3277
910	33175	3241
911	33215	3204
912	33252	3168
913	33290	3132
914	33324	3095
915	33357	3058
916	33392	3022
917	33426	2985
918	33457	2948
919	33490	2912
920	33528	2875
921	33565	2839
922	33606	2803
923	33645	2767
924	33677	2730
925	33708	2693
926	33740	2657
927	33772	2620
928	33806	2583
929	33839	2547
930	33873	2510
931	33905	2473
932	33939	2437
933	33973	2400
934	34007	2364
935	34039	2327
936	34077	2291
937	34112	2254
938	34147	2218
939	34183	2181
940	34217	2145
941	34253	2109
942	34286	2072
943	34319	2035
944	34351	1999
945	34386	1962
946	34420	1926
947	34453	1889
948	34488	1853
949	34522	1816
950	34555	1780
951	34589	1743
952	34625	1707
953	34661	1671
954	34700	1635
955	34734	1598
956	34772	1562
957	34807	1525
958	34840	1489
959	34874	1453
960	34907	1416
961	34941	1380
962	34976	1343
963	35011	1307
964	35046	1271
965	35084	1234
966	35125	1198
967	35167	1162
968	35204	1126
969	35243	1089
970	35286	1053
971	35340	1018
972	35385	981
973	35418	945
974	35451	909
975	35485	872
976	35519	836
977	35553	799
978	35587	763
979	35623	727
980	35656	690
981	35692	654
982	35728	617
983	35765	581
984	35802	545
985	35837	508
986	35872	472
987	35908	436
988	35939	399
989	35973	363
990	36006	327
991	36039	290
992	36073	254
993	36107	217
994	36138	181
995	36175	145
996	36209	108
997	36245	72
998	36284	36
999	36319	0
